scenario,K,optimizer,coverage_pct,gamma_mean,d_mean_m,solar_mean,scalar_score4,idxs_str,weights
FLAT,50,Simple-NSGA,54.28994082840237,1.0,4439.688692299799,1.0,0.7373982821924588,"319,520,255,697,117,434,557,743,759,164,180,65,745,72,251,561,337,158,450,778,232,783,372,323,304,763,13,355,141,196,702,391,6,472,629,240,681,607,488,594,76,512,57,125,81,467,51,149,244,712","(0.25, 0.25, 0.25, 0.25)"
FLAT,50,Seeded-NSGA,57.6594345825115,1.0,4787.465452022963,1.0,0.7537864615035451,"38,783,756,27,0,752,673,110,85,670,732,51,32,748,561,222,197,558,736,47,421,362,743,43,309,666,144,163,620,446,91,683,499,480,303,124,624,256,662,159,368,552,204,603,183,542,244,439,428,296","(0.25, 0.25, 0.25, 0.25)"
DEM,50,Random,41.17357001972387,0.8549311664444446,4260.606637795782,0.6634440311319888,0.5800999916193247,"216,554,578,255,416,412,525,54,237,491,566,272,669,617,698,195,52,641,408,234,282,89,549,570,136,125,507,218,241,574,431,183,703,57,131,279,50,318,458,324,535,607,747,726,169,116,675,166,534,766","(0.25, 0.25, 0.25, 0.25)"
DEM,50,Greedy,54.142011834319526,0.9842458017777777,4506.128971919345,0.8990440771395997,0.7093724800666805,"302,729,24,724,4,641,645,51,34,721,135,732,19,699,116,306,477,193,688,563,160,552,201,558,253,549,185,735,141,298,649,82,653,239,467,261,665,71,446,314,712,322,526,93,365,244,482,599,430,464","(0.25, 0.25, 0.25, 0.25)"
DEM,50,Simple-NSGA,48.257725180802105,0.908805991111111,4481.497302356481,0.7922633131736398,0.6485425292477486,"699,246,336,193,371,301,745,541,124,3,357,548,297,24,250,411,140,764,235,536,13,578,111,720,756,225,89,617,622,230,321,684,526,373,418,585,477,779,704,169,184,279,608,464,160,49,687,6,43,460","(0.25, 0.25, 0.25, 0.25)"
DEM,50,Seeded-NSGA,55.243261012491786,0.9726917526666666,4529.579428491765,0.8840755419908605,0.7060319964836745,"302,756,24,4,699,645,19,723,107,731,641,141,193,253,306,688,160,477,552,116,82,735,558,239,563,665,201,549,71,649,298,653,261,467,93,446,365,34,712,185,322,600,314,430,782,482,490,40,382,568","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,50,Random,25.410913872452333,0.5003815562621396,4011.9232881938597,0.7414369362481789,0.46585907090851986,"233,352,587,380,294,205,696,189,142,523,506,339,778,777,316,393,555,279,53,740,336,314,255,651,305,583,561,166,342,320,287,326,333,372,631,547,447,158,720,420,751,538,246,312,267,460,741,643,204,212","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,50,Greedy,34.05654174884944,0.6343031718391176,4966.124840140086,0.960695623513911,0.5976204117089019,"160,673,726,3,24,558,142,688,222,5,782,729,106,116,19,721,549,703,22,210,699,477,163,314,640,84,244,617,110,554,373,745,224,55,445,536,185,771,357,255,604,1,220,261,711,362,339,665,647,79","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,50,Simple-NSGA,31.722550953320184,0.5845306748096699,4696.337212042709,0.8061533918396028,0.5345283388187436,"529,130,308,627,113,17,279,239,385,9,348,777,329,757,226,381,124,340,121,698,194,505,22,4,79,616,736,231,774,391,724,706,443,584,558,767,554,110,780,20,516,549,47,482,742,87,136,217,689,536","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,50,Seeded-NSGA,35.47008547008547,0.6208876156108661,4883.2604743288,0.9612945238608563,0.5960524279720756,"160,700,782,3,55,617,699,0,24,558,141,703,222,721,6,688,19,477,106,752,116,640,224,734,110,604,314,163,647,210,554,255,244,711,550,86,362,775,481,357,373,445,185,771,261,366,22,322,268,679","(0.25, 0.25, 0.25, 0.25)"
FLAT,60,Random,48.68507560815253,1.0,3989.211131821196,1.0,0.7130697204163916,"603,632,579,724,350,687,379,575,139,116,95,203,438,5,508,357,651,373,553,41,573,564,163,246,594,72,14,444,715,377,311,124,389,468,267,548,8,752,369,370,702,158,670,554,54,506,607,12,320,521,83,512,0,453,551,375,265,43,23,493","(0.25, 0.25, 0.25, 0.25)"
FLAT,60,Greedy,67.60355029585799,1.0,4681.783055234339,1.0,0.7762265153763538,"38,783,756,27,0,780,672,111,84,698,731,52,31,749,589,194,169,586,735,48,34,745,306,421,740,43,446,281,648,135,667,116,505,663,120,131,652,499,247,228,659,124,565,359,340,582,453,184,599,243,549,232,439,512,344,296,236,488,328,407","(0.25, 0.25, 0.25, 0.25)"
FLAT,60,Simple-NSGA,63.971071663379355,1.0,4415.353735219627,1.0,0.761043813773464,"667,766,541,270,122,127,558,172,169,16,419,415,320,81,600,512,56,517,673,430,203,463,448,775,288,305,218,41,535,158,79,365,35,10,740,118,3,604,239,589,252,663,352,734,284,370,755,329,756,713,643,525,439,76,208,453,593,653,194,780","(0.25, 0.25, 0.25, 0.25)"
FLAT,60,Seeded-NSGA,63.19855358316897,1.0,5043.167425587647,1.0,0.7734900967773816,"38,783,756,27,0,781,700,25,56,699,759,111,3,778,616,22,140,614,763,194,34,774,533,107,676,502,87,695,46,225,738,306,421,42,742,390,309,691,172,190,592,610,120,652,131,480,443,124,656,302,284,632,128,527,231,539,368,243,551,355","(0.25, 0.25, 0.25, 0.25)"
DEM,60,Random,44.67455621301775,0.8197189057407408,4065.5647781700504,0.6536670102338282,0.5731384778303105,"669,88,311,365,401,237,543,667,159,516,700,113,244,734,282,102,426,350,104,631,120,704,428,28,264,776,15,534,8,157,609,317,648,109,404,96,421,305,584,214,671,716,521,536,619,233,711,158,162,295,373,773,603,405,459,719,562,259,308,496","(0.25, 0.25, 0.25, 0.25)"
DEM,60,Greedy,63.01775147928994,0.9818823125925926,4429.885751613902,0.8895440655313122,0.7268499059424143,"302,729,24,724,4,641,645,51,34,721,135,732,19,699,116,306,477,193,688,563,160,552,201,558,253,549,185,735,141,298,649,82,653,239,467,261,665,71,446,314,712,322,526,93,365,244,482,599,430,464,220,382,744,346,40,568,154,604,754,561","(0.25, 0.25, 0.25, 0.25)"
DEM,60,Simple-NSGA,54.33925049309665,0.8883300670370371,4714.646224839338,0.7533715712725514,0.6542437757776317,"644,381,113,162,503,640,599,685,11,224,621,19,118,526,301,416,179,767,7,400,546,551,23,367,675,467,256,404,783,756,223,188,320,241,614,364,226,155,726,724,106,722,17,3,25,759,430,775,509,689,504,356,681,42,55,306,763,771,315,673","(0.25, 0.25, 0.25, 0.25)"
DEM,60,Seeded-NSGA,64.66140696909927,0.9687754931481481,4378.955644470611,0.878346103601163,0.7237164975701376,"302,756,24,4,699,645,19,723,107,731,641,141,193,253,306,688,160,477,552,116,82,735,558,239,563,665,201,549,71,649,298,653,261,467,93,446,365,34,712,185,322,600,314,430,782,482,490,40,382,568,776,154,346,244,526,424,515,744,103,604","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,60,Random,31.476002629848782,0.5068229467562194,4266.05255045777,0.7016982280479384,0.47851728444387587,"412,406,80,165,612,659,593,756,252,305,387,744,18,445,248,452,212,647,208,505,354,742,89,781,689,270,462,216,168,304,631,578,396,426,531,182,376,567,356,148,260,58,743,309,368,719,381,674,696,476,537,477,748,68,143,118,401,23,395,135","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,60,Greedy,40.368178829717294,0.6277037842137927,4874.483947791738,0.955407484012026,0.6083289520894613,"160,673,726,3,24,558,142,688,222,5,782,729,106,116,19,721,549,703,22,210,699,477,163,314,640,84,244,617,110,554,373,745,224,55,445,536,185,771,357,255,604,1,220,261,711,362,339,665,647,79,322,734,86,775,481,268,752,579,306,200","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,60,Simple-NSGA,37.804076265614725,0.5780491353764282,4434.738828843438,0.8250141184082984,0.54683607727556,"306,433,650,175,9,128,563,626,703,6,757,339,84,373,465,775,188,689,698,17,457,764,448,210,617,581,123,751,82,27,536,358,287,52,382,264,463,503,250,450,269,245,467,2,227,200,135,575,21,365,194,376,88,511,363,235,638,554,15,770","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,60,Seeded-NSGA,40.368178829717294,0.6277037842137927,4874.483947791738,0.955407484012026,0.6083289520894613,"160,673,726,3,24,558,142,688,222,5,782,729,106,116,19,721,549,703,22,210,699,477,163,314,640,84,244,617,110,554,373,745,224,55,445,536,185,771,357,255,604,1,220,261,711,362,339,665,647,79,322,734,86,775,481,268,752,579,306,200","(0.25, 0.25, 0.25, 0.25)"
