scenario,K,optimizer,coverage_pct,gamma_mean,d_mean_m,solar_mean,scalar_score4,idxs_str,weights
DSM/CHM,40,Greedy,58.36620644312952,0.6202647406073616,2967.5109891901416,0.946696657235452,0.639575972826856,"49,715,116,554,81,648,95,696,283,73,739,222,260,573,42,750,562,137,578,169,529,396,30,718,236,390,38,410,701,248,433,106,511,148,733,128,496,626,323,337","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,40,Simple-NSGA,53.468113083497705,0.5283928541001075,3092.3158062409298,0.748153133693749,0.5590133479889783,"1,589,456,344,23,27,643,386,16,555,295,207,756,548,567,62,106,158,276,282,299,733,551,137,94,696,261,409,750,446,688,737,601,146,648,421,774,168,31,390","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,40,Seeded-NSGA,58.36620644312952,0.6202647406073616,2967.5109891901416,0.946696657235452,0.639575972826856,"49,715,116,554,81,648,95,696,283,73,739,222,260,573,42,750,562,137,578,169,529,396,30,718,236,390,38,410,701,248,433,106,511,148,733,128,496,626,323,337","(0.25, 0.25, 0.25, 0.25)"
FLAT,50,Random,75.70677186061802,1.0,2994.3043713082584,1.0,0.7921072641269723,"52,546,33,334,588,498,427,352,753,58,201,73,576,495,773,32,721,340,530,395,131,178,496,553,290,650,385,166,280,363,642,202,198,9,756,499,242,109,782,769,439,6,676,151,410,17,737,348,528,560","(0.25, 0.25, 0.25, 0.25)"
FLAT,50,Greedy,95.24983563445102,1.0,3112.7924662177334,1.0,0.8450344348071743,"68,783,756,27,0,750,646,50,114,641,735,165,34,744,478,305,254,501,159,595,635,175,656,45,369,412,209,516,298,375,522,483,260,418,364,767,407,246,561,759,555,11,83,603,121,727,293,156,169,3","(0.25, 0.25, 0.25, 0.25)"
FLAT,50,Simple-NSGA,84.46745562130178,1.0,3287.197183800783,1.0,0.824068470181996,"141,219,279,665,24,56,197,60,756,131,780,432,420,566,20,364,560,83,615,312,281,472,759,13,16,125,655,229,347,139,465,754,768,476,27,389,236,369,735,660,107,668,0,702,774,327,524,8,513,120","(0.25, 0.25, 0.25, 0.25)"
FLAT,50,Seeded-NSGA,95.59500328731097,1.0,3030.9847606422213,1.0,0.8430876423132556,"68,783,756,27,288,750,646,50,114,641,733,165,34,744,478,305,254,501,159,595,635,175,656,45,369,412,209,516,298,375,522,483,243,418,364,767,407,246,561,680,555,11,83,603,121,727,293,156,169,2","(0.25, 0.25, 0.25, 0.25)"
DEM,50,Random,62.491781722550954,0.7466379426666667,2783.343120251856,0.6365663470270294,0.5976253300468461,"730,12,206,350,79,88,420,480,747,277,529,737,200,692,453,378,754,654,15,78,392,741,526,211,317,268,145,638,113,768,544,276,315,769,170,446,739,344,337,149,588,606,403,577,635,340,419,379,499,658","(0.25, 0.25, 0.25, 0.25)"
DEM,50,Greedy,87.04799474030244,0.9502644691111112,2952.891896971978,0.9288321427776722,0.7888121497167478,"76,703,725,144,81,715,562,42,554,93,137,737,396,260,573,30,248,408,595,388,283,529,459,236,750,128,298,578,508,169,718,317,496,422,45,711,222,648,106,38,613,729,294,511,148,733,274,50,337,35","(0.25, 0.25, 0.25, 0.25)"
DEM,50,Simple-NSGA,87.68902038132808,0.845165808,2932.490991463684,0.754040064838389,0.7197413534787134,"183,204,783,613,567,294,761,710,314,605,135,529,234,282,648,303,7,72,2,504,544,716,454,393,389,93,141,408,609,159,590,81,701,696,679,117,626,769,194,491,257,721,375,12,384,271,523,470,251,50","(0.25, 0.25, 0.25, 0.25)"
DEM,50,Seeded-NSGA,86.02892833662065,0.8441393208888889,3198.0108459565954,0.9282371628925238,0.7680031398212217,"106,760,1,780,27,648,698,116,81,743,168,42,728,222,737,529,7,508,390,93,283,783,47,573,580,260,422,408,718,128,588,301,294,459,596,686,137,496,181,613,369,248,750,113,12,336,148,414,706,60","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,50,Random,51.232741617357,0.5039643888616595,2792.3164249467704,0.6269261828096312,0.5067074912774842,"521,104,363,166,312,12,516,654,775,241,745,201,599,88,508,331,731,579,602,61,274,340,237,386,773,49,488,27,556,531,738,116,314,399,143,740,160,328,411,6,266,123,58,158,108,438,468,259,33,638","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,50,Greedy,68.65548980933596,0.6109296968834685,2866.4015677846583,0.9348414881908913,0.6565289928647402,"49,715,116,554,81,648,95,696,283,73,739,222,260,573,42,750,562,137,578,169,529,396,30,718,236,390,38,410,701,248,433,106,511,148,733,128,496,626,323,337,301,422,782,492,414,230,459,183,536,132","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,50,Simple-NSGA,65.26955950032874,0.5334393075720394,2928.675198673395,0.7451516386125004,0.5834079149976633,"167,137,405,94,279,53,672,737,521,294,717,577,258,414,77,302,692,390,101,760,13,749,503,17,422,30,381,255,143,299,517,484,597,183,670,234,69,659,317,216,534,336,6,554,196,600,782,621,714,369","(0.25, 0.25, 0.25, 0.25)"
